run_name,model,base_model,source,objective,train_examples,logged_step,logged_epoch,samples_seen,train_loss
mistral7b_judge_shared_lit_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Lit,reason+verdict,3069,10,0.1,306.90000000000003,1.6
mistral7b_judge_shared_lit_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Lit,reason+verdict,3069,20,0.21,644.49,0.5221
mistral7b_judge_shared_lit_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Lit,reason+verdict,3069,30,0.31,951.39,0.4067
mistral7b_judge_shared_lit_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Lit,reason+verdict,3069,40,0.42,1288.98,0.373
mistral7b_judge_shared_lit_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Lit,reason+verdict,3069,50,0.52,1595.88,0.3597
mistral7b_judge_shared_lit_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Lit,reason+verdict,3069,60,0.63,1933.47,0.3488
mistral7b_judge_shared_lit_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Lit,reason+verdict,3069,70,0.73,2240.37,0.3437
mistral7b_judge_shared_lit_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Lit,reason+verdict,3069,80,0.83,2547.27,0.3382
mistral7b_judge_shared_lit_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Lit,reason+verdict,3069,90,0.94,2884.86,0.3362
mistral7b_judge_shared_lit_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Lit,reason+verdict,3069,100,1.04,3191.76,0.3085
mistral7b_judge_shared_lit_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Lit,reason+verdict,3069,110,1.15,3529.35,0.2777
mistral7b_judge_shared_lit_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Lit,reason+verdict,3069,120,1.25,3836.25,0.2791
mistral7b_judge_shared_lit_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Lit,reason+verdict,3069,130,1.35,4143.150000000001,0.2777
mistral7b_judge_shared_lit_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Lit,reason+verdict,3069,140,1.46,4480.74,0.2805
mistral7b_judge_shared_lit_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Lit,reason+verdict,3069,150,1.56,4787.64,0.2792
mistral7b_judge_shared_lit_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Lit,reason+verdict,3069,160,1.67,5125.23,0.2741
mistral7b_judge_shared_lit_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Lit,reason+verdict,3069,170,1.77,5432.13,0.2693
mistral7b_judge_shared_lit_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Lit,reason+verdict,3069,180,1.88,5769.719999999999,0.2777
mistral7b_judge_shared_lit_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Lit,reason+verdict,3069,190,1.98,6076.62,0.2741
mistral7b_judge_shared_lit_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Lit,reason+verdict,3069,200,2.08,6383.52,0.2312
mistral7b_judge_shared_lit_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Lit,reason+verdict,3069,210,2.19,6721.11,0.2192
mistral7b_judge_shared_lit_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Lit,reason+verdict,3069,220,2.29,7028.01,0.219
mistral7b_judge_shared_lit_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Lit,reason+verdict,3069,230,2.4,7365.599999999999,0.2113
