Experiment,Model,Files,Edges,Prompt Tokens,Completion Tokens,Tokens/Edge,Cost/Edge (¢),Total Cost ($),Source
RQ1a Corruption Citation,gpt-5-mini,36,18120,748783566,30236947,42992,1.37,247.67,actual
RQ1a Ground Truth Citation,gpt-4.1,36,18117,782968601,12969529,43933,9.22,1669.69,actual
RQ1a Corruption Correctness,gpt-4.1,27,13590,4986874,1539026,480,0.16,22.29,actual
RQ1a Ground Truth Correctness,gpt-4.1,27,13587,4971726,1424948,470,0.16,21.34,actual
RQ1b Synth Baseline,gpt-4.1,9,4527,3462849,976701,980,0.33,14.74,estimated
RQ1b Synth CoT,gpt-4.1,8,4318,3302978,931609,980,0.33,14.06,estimated
RQ1b Synth Mechanistic,gpt-4.1,9,4527,3462849,976701,980,0.33,14.74,estimated
RQ1b GT Baseline,gpt-4.1,9,4529,3464379,977132,980,0.33,14.75,estimated
RQ1b GT CoT,gpt-4.1,9,4529,3464379,977132,980,0.33,14.75,estimated
RQ1b GT Mechanistic,gpt-4.1,9,4529,3464379,977132,980,0.33,14.75,estimated
Deep Research,gpt-5+gpt-5-mini,3,285,0,0,246893,87.0,247.95,actual
