run_name,model,base_model,source,objective,train_examples,final_logged_step,final_logged_epoch,final_train_loss
mistral7b_judge_shared_lit_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Lit,reason+verdict,3069,280,2.92,0.2114
mistral7b_judge_shared_synth_reason_verdict,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Synth,reason+verdict,3012,280,2.96,0.1735
qwen3_14b_judge_shared_lit_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Lit,reason+verdict,3069,280,2.92,0.4567
qwen3_14b_judge_shared_synth_reason_verdict,Qwen3-14B,Qwen/Qwen3-14B,GT Synth,reason+verdict,3012,280,2.96,0.4746
qwen3_235b_judge_shared_synth_reason_verdict,Qwen3-235B,Qwen/Qwen3-235B-A22B,GT Synth,reason+verdict,50,10,0.8,1.3961
qwen3_32b_judge_shared_lit_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Lit,reason+verdict,3069,280,2.92,0.4318
qwen3_32b_judge_shared_synth_reason_verdict,Qwen3-32B,Qwen/Qwen3-32B,GT Synth,reason+verdict,3012,280,2.96,0.4346
mistral7b_judge_shared_lit_verdict_only,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Lit,verdict-only,3009,280,2.96,0.1196
mistral7b_judge_shared_synth_verdict_only,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.2,GT Synth,verdict-only,1656,150,2.89,0.121
qwen3_14b_judge_shared_lit_verdict_only,Qwen3-14B,Qwen/Qwen3-14B,GT Lit,verdict-only,3009,280,2.96,0.0104
qwen3_14b_judge_shared_synth_verdict_only,Qwen3-14B,Qwen/Qwen3-14B,GT Synth,verdict-only,1656,150,2.89,0.0126
qwen3_235b_judge_shared_lit_verdict_only_s1500_seed42_trainonly,Qwen3-235B,Qwen/Qwen3-235B-A22B,GT Lit,verdict-only,1500,140,2.98,0.0058
qwen3_235b_judge_shared_lit_verdict_only,Qwen3-235B,Qwen/Qwen3-235B-A22B,GT Lit,verdict-only,3009,20,0.21,0.0229
qwen3_32b_judge_shared_lit_verdict_only,Qwen3-32B,Qwen/Qwen3-32B,GT Lit,verdict-only,3009,280,2.96,0.0078
qwen3_32b_judge_shared_synth_verdict_only,Qwen3-32B,Qwen/Qwen3-32B,GT Synth,verdict-only,1656,150,2.89,0.0112
